"日付け","終値","始値","高値","安値","前日比%"
"2017年07月12日","281,466","269,523","296,255","265,856","4.43"
"2017年07月11日","269,523","273,789","301,735","267,394","-1.56"
"2017年07月10日","273,789","291,868","302,599","273,735","-6.19"
"2017年07月09日","291,868","295,715","301,809","291,356","-1.30"
"2017年07月08日","295,715","293,044","304,722","291,273","0.91"
"2017年07月07日","293,044","296,418","308,677","291,436","-1.14"
"2017年07月06日","296,418","305,679","311,730","292,534","0.81"
"2017年07月05日","294,032","302,303","314,683","292,408","-0.44"
"2017年07月04日","295,330","296,100","313,696","283,749","-0.26"
"2017年07月03日","296,100","284,630","306,309","274,247","4.03"
"2017年07月02日","284,630","284,340","292,423","262,426","0.10"
"2017年07月01日","284,340","280,085","300,000","262,426","1.28"
"2017年06月30日","280,741","286,974","295,530","272,358","-2.17"
"2017年06月29日","286,974","291,532","297,657","278,583","-1.56"
"2017年06月28日","291,532","286,869","315,922","266,903","1.63"
"2017年06月27日","286,869","281,862","315,131","266,703","1.78"
"2017年06月26日","281,862","286,639","329,408","278,499","-1.67"
"2017年06月25日","286,639","292,514","318,045","285,185","-2.01"
"2017年06月24日","292,514","311,033","314,970","292,514","-5.95"
"2017年06月23日","311,033","303,229","338,280","301,078","1.37"
"2017年06月22日","306,815","295,047","314,187","294,183","3.99"
"2017年06月21日","295,047","303,346","314,442","295,047","-2.74"
"2017年06月20日","303,346","299,208","312,964","285,688","1.38"
"2017年06月19日","299,208","274,511","300,747","274,511","9.00"
"2017年06月18日","274,511","291,365","321,302","274,156","-5.78"
"2017年06月17日","291,365","279,492","321,302","260,555","4.25"
"2017年06月16日","279,492","273,002","310,151","242,276","-1.72"
"2017年06月15日","284,375","308,614","336,948","241,493","-7.85"
"2017年06月14日","308,614","320,694","335,307","284,249","-3.77"
"2017年06月13日","320,694","309,888","361,345","297,214","3.49"
"2017年06月12日","309,888","332,419","361,345","296,128","-6.78"
"2017年06月11日","332,419","324,000","339,535","315,294","2.60"
"2017年06月10日","324,000","321,900","350,177","315,331","0.65"
"2017年06月09日","321,900","317,275","348,936","304,494","1.46"
"2017年06月08日","317,275","320,347","350,599","298,080","-0.96"
"2017年06月07日","320,347","320,283","350,599","298,729","0.02"
"2017年06月06日","320,283","304,546","337,159","288,042","5.17"
"2017年06月05日","304,546","296,356","319,043","275,573","2.76"
"2017年06月04日","296,356","282,821","298,950","267,351","4.79"
"2017年06月03日","282,821","278,197","298,951","278,187","1.66"
"2017年06月02日","278,197","271,102","307,974","260,000","2.62"
"2017年06月01日","271,102","262,456","312,183","249,172","3.29"
"2017年05月31日","262,456","267,155","284,040","248,301","-1.76"
"2017年05月30日","267,155","264,010","291,657","240,168","1.19"
"2017年05月29日","264,010","249,256","297,161","238,300","5.92"
"2017年05月28日","249,256","252,700","278,525","217,596","-1.36"
"2017年05月27日","252,700","260,017","322,539","217,623","-2.81"
"2017年05月26日","260,017","269,662","382,414","255,146","-3.58"
"2017年05月25日","269,662","286,397","382,689","254,061","-5.84"
"2017年05月24日","286,397","254,475","292,120","242,576","12.54"
"2017年05月23日","254,475","249,444","281,490","225,120","2.02"
"2017年05月22日","249,444","226,666","258,492","224,779","10.05"
"2017年05月21日","226,666","231,959","249,390","223,865","-2.28"
"2017年05月20日","231,959","224,118","232,332","216,889","3.50"
"2017年05月19日","224,118","221,809","232,341","209,003","1.04"
"2017年05月18日","221,809","220,621","222,545","198,533","0.54"
"2017年05月17日","220,621","203,828","238,779","186,207","8.24"
"2017年05月16日","203,828","200,102","205,840","192,235","1.86"
"2017年05月15日","200,102","202,196","206,576","193,029","-1.04"
"2017年05月14日","202,196","201,502","206,651","191,048","0.34"
"2017年05月13日","201,502","197,841","212,825","191,048","1.85"
"2017年05月12日","197,841","210,125","231,569","195,996","-5.85"
"2017年05月11日","210,125","203,548","231,569","193,533","3.23"
"2017年05月10日","203,548","195,542","214,031","187,122","4.09"
"2017年05月09日","195,542","174,375","205,634","163,026","12.14"
"2017年05月08日","174,375","176,601","184,227","170,409","-1.26"
"2017年05月07日","176,601","175,887","180,363","169,492","0.41"
"2017年05月06日","175,887","172,305","182,751","169,992","2.08"
"2017年05月05日","172,305","180,000","213,063","161,878","-4.28"
"2017年05月04日","180,000","168,757","214,444","161,000","6.66"
"2017年05月03日","168,757","160,380","169,149","146,856","5.22"
"2017年05月02日","160,380","156,053","169,267","146,856","2.77"
"2017年05月01日","156,053","147,368","158,139","144,758","5.89"
"2017年04月30日","147,368","146,668","149,095","144,758","0.48"
"2017年04月29日","146,668","147,757","150,513","144,758","-0.74"
"2017年04月28日","147,757","148,531","150,747","142,747","-0.52"
"2017年04月27日","148,531","142,180","149,350","141,279","4.47"
"2017年04月26日","142,180","140,115","146,103","138,350","1.47"
"2017年04月25日","140,115","137,283","141,483","134,411","2.06"
"2017年04月24日","137,283","137,550","137,827","132,000","-0.19"
"2017年04月23日","137,550","134,945","137,867","131,235","1.28"
"2017年04月22日","135,813","135,277","137,121","131,308","0.40"
"2017年04月21日","135,277","135,649","137,475","130,671","-0.27"
"2017年04月20日","135,649","129,682","136,245","129,250","4.60"
"2017年04月19日","129,682","128,894","132,739","118,170","-0.32"
"2017年04月18日","130,098","132,146","143,019","118,170","-1.55"
"2017年04月17日","132,146","128,155","132,355","127,647","3.11"
"2017年04月16日","128,155","128,529","140,279","127,906","-0.29"
"2017年04月15日","128,529","131,878","140,031","128,510","-2.54"
"2017年04月14日","131,878","126,876","141,105","125,397","3.94"
"2017年04月13日","126,876","132,432","138,697","120,890","-4.19"
"2017年04月12日","132,432","132,584","135,094","130,271","-0.11"
"2017年04月11日","132,584","132,315","136,003","125,000","0.20"
"2017年04月10日","132,315","131,130","137,101","125,000","0.90"
"2017年04月09日","131,130","128,973","133,719","128,198","1.67"
"2017年04月08日","128,973","131,877","132,814","121,165","-2.27"
"2017年04月07日","131,974","130,836","132,751","121,165","0.87"
"2017年04月06日","130,836","122,931","131,273","122,352","6.43"
"2017年04月05日","122,931","125,909","129,622","122,086","-2.37"
"2017年04月04日","125,909","127,783","129,700","121,753","-1.47"
"2017年04月03日","127,783","121,269","129,853","119,369","5.37"
"2017年04月02日","121,269","120,274","122,304","119,129","0.90"
"2017年04月01日","120,185","120,420","125,000","114,646","-0.20"
"2017年03月31日","120,420","115,078","121,796","108,000","4.64"
"2017年03月30日","115,078","115,506","117,074","113,071","-0.37"
"2017年03月29日","115,506","114,658","118,518","112,336","0.74"
"2017年03月28日","114,658","118,017","127,059","107,633","-2.85"
"2017年03月27日","118,017","107,145","118,017","104,678","10.15"
"2017年03月26日","107,145","106,178","111,136","100,529","0.91"
"2017年03月25日","106,178","114,536","114,536","100,518","-7.30"
"2017年03月24日","114,536","114,611","118,784","106,326","-0.07"
"2017年03月23日","114,611","123,251","127,777","113,536","-6.72"
"2017年03月22日","122,865","124,226","127,946","112,372","-1.10"
"2017年03月21日","124,226","117,932","128,281","114,663","5.34"
"2017年03月20日","117,932","123,983","126,501","111,704","-4.88"
"2017年03月19日","123,983","118,881","137,684","111,591","4.29"
"2017年03月18日","118,881","127,732","137,955","113,341","-6.93"
"2017年03月17日","127,732","132,078","145,908","126,760","-3.29"
"2017年03月16日","132,078","142,555","145,996","132,051","-7.35"
"2017年03月15日","142,555","143,935","152,097","141,107","-0.96"
"2017年03月14日","143,935","141,174","146,139","139,659","1.96"
"2017年03月13日","141,174","139,310","146,424","133,511","1.34"
"2017年03月12日","139,310","134,522","141,149","133,116","3.56"
"2017年03月11日","134,522","126,281","149,242","123,985","6.53"
"2017年03月10日","126,281","144,758","149,029","122,193","-12.76"
"2017年03月09日","144,758","130,884","144,758","126,264","10.60"
"2017年03月08日","130,884","140,775","146,659","130,884","-7.03"
"2017年03月07日","140,775","148,097","148,334","138,723","-4.94"
"2017年03月06日","148,097","146,435","148,192","135,216","4.18"
"2017年03月05日","142,160","144,144","147,472","140,725","-1.38"
"2017年03月04日","144,144","146,572","147,902","135,758","-1.66"
"2017年03月03日","146,572","142,931","148,451","135,675","2.55"
"2017年03月02日","142,931","137,788","145,018","132,404","3.73"
"2017年03月01日","137,788","134,747","137,788","124,773","2.26"
"2017年02月28日","134,747","133,308","136,911","130,456","1.08"
"2017年02月27日","133,308","131,550","134,078","129,348","1.34"
"2017年02月26日","131,550","119,021","133,730","119,021","10.53"
"2017年02月25日","119,021","132,465","135,910","119,021","-10.15"
"2017年02月24日","132,465","129,842","137,981","120,000","2.02"
"2017年02月23日","129,842","126,921","130,999","120,000","2.30"
